"","BaselineProp.clusters","BaselineProp.Freq","PropMean.Din","PropMean.Simona","PropRatio","Tstatistic","P.Value","FDR"
"Trh Glut","Trh Glut",0.00231940353608719,0.00197994309222046,0.00246036637543234,0.80473506384696,-1.76384798929118,0.0861374749090979,0.974909271278107
"NDB-SI-MA-STRv Lhx8 Gaba","NDB-SI-MA-STRv Lhx8 Gaba",0.0127125785507339,0.0110148116710369,0.0131811487062454,0.835648843398444,-1.67237953443521,0.102954877630932,0.974909271278107
"Mixed","Mixed",0.00226322421168369,0.00201433927280512,0.00246610431915804,0.816810244869463,-1.563199389709,0.126588476771604,0.974909271278107
"PV-PT Ntrk1-Sp9 Glut","PV-PT Ntrk1-Sp9 Glut",0.0375518655548511,0.034100157675783,0.041797701509317,0.815838106987339,-1.35072985045539,0.185051810680929,0.974909271278107
"PF Fzd5 Glut","PF Fzd5 Glut",0.04146034140978,0.0384336127657891,0.04286348182416,0.896651674809254,-1.28834299853177,0.205689848543296,0.974909271278107
"STN-PSTN Pitx2 Glut","STN-PSTN Pitx2 Glut",0.00913315302445406,0.00884103330477587,0.00942097146747947,0.938441787590006,-1.20846311788436,0.234598059829624,0.974909271278107
"TH Prkcd Grin2c Glut_5","TH Prkcd Grin2c Glut_5",0.00632418680427926,0.00650612897496116,0.00522689971336272,1.24473958402685,1.20379802637659,0.236374727839652,0.974909271278107
"SCH Six6 Cdc14a Gaba","SCH Six6 Cdc14a Gaba",0.0304411682089229,0.0285682524258233,0.0324087571212702,0.881497933380286,-1.16060192112387,0.253297749146828,0.974909271278107
"RT-ZI Gnb3 Gaba_2","RT-ZI Gnb3 Gaba_2",0.000537716390719176,0.000476449623575337,0.000566480993692053,0.841069036526832,-1.13410948800889,0.264102269551814,0.974909271278107
"PO-MEA-BST Mixed Gaba","PO-MEA-BST Mixed Gaba",0.00313801654882385,0.00337356812062142,0.00281411976492957,1.19880047845293,0.950246525649757,0.348203054148003,0.974909271278107
"DMH Gaba","DMH Gaba",0.00345904125970097,0.00335560082137958,0.00368645199769917,0.910252140397845,-0.915873026791139,0.365712488435513,0.974909271278107
"TH Sema5b-Ntrk Glut","TH Sema5b-Ntrk Glut",0.0195263280391008,0.0183182396929368,0.019568491951602,0.936108911112958,-0.860857385568301,0.394905898553401,0.974909271278107
"TH Prkcd Grin2c Glut_7","TH Prkcd Grin2c Glut_7",0.0185231258176098,0.0175176149417027,0.0203143866174458,0.862325566190547,-0.820788766072239,0.417066236589288,0.974909271278107
"TH Prkcd Grin2c Glut_8","TH Prkcd Grin2c Glut_8",0.0329130584826767,0.0340365892001416,0.0302261234288002,1.12606531500201,0.798006086067015,0.43000040225307,0.974909271278107
"GPe-SI Sox6 Cyp26b1 Gaba","GPe-SI Sox6 Cyp26b1 Gaba",0.0294780940762915,0.0275621284714673,0.0295211822630182,0.933639046902093,-0.764821817378873,0.449269969051441,0.974909271278107
"TRS-BAC Sln Glut","TRS-BAC Sln Glut",0.00390045023715701,0.00387749964997622,0.00444107814295727,0.873098721787911,-0.746309485809704,0.460234575033145,0.974909271278107
"LH-MH Glut","LH-MH Glut",0.00209468623847321,0.00247314560810217,0.00187854937693938,1.31651881950079,0.725886915533003,0.472512011950336,0.974909271278107
"TH Prkcd Grin2c Glut_1","TH Prkcd Grin2c Glut_1",0.0296145295784143,0.0332713076405632,0.0290114849718743,1.14683228634517,0.724491927621116,0.473357438371445,0.974909271278107
"Hist Gaba","Hist Gaba",0.0158505950995578,0.0149820935277905,0.0186852447121502,0.801814145792175,-0.707292570097547,0.483851946092202,0.974909271278107
"RE-Xi Nox4 Glut","RE-Xi Nox4 Glut",0.00196627635412236,0.00182053634738119,0.00212699592933426,0.855919055731816,-0.687553165169838,0.496056654286318,0.974909271278107
"PVpo-VMPO-MPN Hmx2 Gaba","PVpo-VMPO-MPN Hmx2 Gaba",0.00166130287878909,0.00162535244256193,0.00162819249487382,0.998255702368837,0.617250696608606,0.540880301120218,0.974909271278107
"VMH Nr5a1 Glut_1","VMH Nr5a1 Glut_1",0.00455052527668317,0.00508288462760234,0.0042495559554432,1.19609782313649,0.566424375996369,0.574553050321497,0.974909271278107
"PO-COAa-PAA-MEA Barhl2 Glut","PO-COAa-PAA-MEA Barhl2 Glut",0.0286915835346426,0.0286502414402266,0.0282694071062226,1.01347160669387,-0.545763526874958,0.58853068224471,0.974909271278107
"TH-PVT-RE Ntrk1-Nox4 Glut","TH-PVT-RE Ntrk1-Nox4 Glut",0.0296787345205897,0.030252097832472,0.0275656892928705,1.09745479284265,0.545580549600774,0.588655199107905,0.974909271278107
"PVN Mixed Glut","PVN Mixed Glut",0.00406096259259557,0.00394687234034513,0.00413151240614746,0.955309328001147,-0.531812531448532,0.598060525928457,0.974909271278107
"AV Col27a1 Glut","AV Col27a1 Glut",0.0111877111740676,0.0111125391928786,0.0115210818114078,0.964539561022417,-0.520447170201245,0.60587767604358,0.974909271278107
"GPi Tbr1 Cngb3 Gaba-Glut","GPi Tbr1 Cngb3 Gaba-Glut",0.00586672659127936,0.00594126178772121,0.0052534151110345,1.13093324288079,0.514296657647088,0.610148554138802,0.974909271278107
"Mixed Meis2 Gaba","Mixed Meis2 Gaba",0.0428166708132358,0.045441703352349,0.0429590081917943,1.05779218992837,0.503224165970312,0.617813634824553,0.974909271278107
"PVH-SO-PVa Avp Glut","PVH-SO-PVa Avp Glut",0.0171507451786101,0.0189933316034729,0.0169904941199232,1.11787988444675,0.487472285870402,0.628822944985367,0.974909271278107
"VMH Nr5a1 Glut_2","VMH Nr5a1 Glut_2",0.0507459811719007,0.0506500582459864,0.0480590804493303,1.0539123464792,-0.476848189328623,0.636297382717464,0.974909271278107
"PO-MEA Slc17a7 Glut","PO-MEA Slc17a7 Glut",0.0149115978202422,0.01410108756934,0.0145368776996267,0.970021751624293,0.442861200550818,0.660483023320709,0.974909271278107
"Lhx6 Gaba","Lhx6 Gaba",0.011035224436401,0.0136297438227124,0.00846693796591336,1.60976068061249,0.424425715797656,0.673749803494566,0.974909271278107
"Pitx2 Glut","Pitx2 Glut",0.0148634441136106,0.0152071900726407,0.0141426907827085,1.07526851193223,0.423936500416949,0.674086661787153,0.974909271278107
"ZI Mixed Gaba","ZI Mixed Gaba",0.0104252774857345,0.00982893593251434,0.00996136150426339,0.986706077106791,0.414213377471241,0.681128800143834,0.974909271278107
"AD Serpinb7 Glut","AD Serpinb7 Glut",0.00301763228224493,0.00320863297991637,0.00262777394854585,1.22104604229445,0.387115782070884,0.700921330502461,0.974909271278107
"TH Prkcd Grin2c Glut_4","TH Prkcd Grin2c Glut_4",0.0192534570348553,0.0196518963348106,0.0182287831684081,1.07806956466896,0.372074941377558,0.711976886541608,0.974909271278107
"TH Prkcd Grin2c Glut_3","TH Prkcd Grin2c Glut_3",0.039453936966798,0.0388691572821773,0.0379370992521025,1.02456851073091,0.371537452966815,0.712373687580908,0.974909271278107
"PH-LHA-MM Foxb1 Glut","PH-LHA-MM Foxb1 Glut",0.00285711992680637,0.00259220082922249,0.00271352469802375,0.955289196781727,0.337715318439391,0.737502671859259,0.974909271278107
"TU-ARH Otp Six6 Gaba","TU-ARH Otp Six6 Gaba",0.0103369956902433,0.0104818776556426,0.00994291778710065,1.0542054032913,0.328834223233152,0.744150091147156,0.974909271278107
"ZI-PVH-SBPV Pax6-Prox1 Gaba","ZI-PVH-SBPV Pax6-Prox1 Gaba",0.00719897914141941,0.00783388530081087,0.00826237492723674,0.948139653525845,-0.325920734100289,0.74633626908791,0.974909271278107
"PVH-SO-PVa Agtr1a Glut","PVH-SO-PVa Agtr1a Glut",0.00389242461938508,0.00460779183625315,0.00394970402030269,1.16661699524007,-0.287997202546168,0.774979963647169,0.974909271278107
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.00291329925120986,0.00277695757519467,0.00278600582860757,0.996752248929277,0.282763888885998,0.778957266108934,0.974909271278107
"TH Prkcd Grin2c Glut_6","TH Prkcd Grin2c Glut_6",0.026861742682643,0.0267694018447735,0.0253037089902106,1.05792403220927,0.277027465224187,0.783313392400257,0.974909271278107
"RT-ZI Gnb3 Gaba_1","RT-ZI Gnb3 Gaba_1",0.0126082455196989,0.0121357781554492,0.0121518615594998,0.998676465826094,0.259887634186924,0.796412683958107,0.974909271278107
"PO-CEA-BST Meis2 Gaba","PO-CEA-BST Meis2 Gaba",0.0176242566271539,0.0176812647840712,0.0167102321793335,1.05811006060937,0.215000633726171,0.83095710582604,0.974909271278107
"DMH Hmx2-Vgll1 Glut","DMH Hmx2-Vgll1 Glut",0.00605131580003371,0.00615484356798323,0.00610612674520782,1.00797835105759,0.20452530863832,0.839073041871535,0.974909271278107
"LHA Pmch Glut","LHA Pmch Glut",0.0506657249941814,0.0490995925536993,0.0496805991626268,0.988305160994022,-0.193122514365404,0.847927824167498,0.974909271278107
"TH Prkcd Grin2c Glut_2","TH Prkcd Grin2c Glut_2",0.00303368351778878,0.00312121092712993,0.00316722858003801,0.985470687781074,0.174961532191963,0.862071964228748,0.974909271278107
"AHN Onecut3 Gaba","AHN Onecut3 Gaba",0.0146628036693124,0.0149387964671812,0.0138545042932539,1.07826279100114,0.1647345314374,0.870063017856727,0.974909271278107
"SI-MA-LPO-LHA Skor1 Glut","SI-MA-LPO-LHA Skor1 Glut",0.0109469426409098,0.0111626995693872,0.0124399562230961,0.897326274240618,-0.159693756980884,0.87399835911227,0.974909271278107
"Chat GABA","Chat GABA",0.0051604722273497,0.00524468059978322,0.00521083075084605,1.00649605610999,-0.153113884187237,0.879147222635748,0.974909271278107
"ADP-MPO Trp73 Glut","ADP-MPO Trp73 Glut",0.00990361233055915,0.00897916373174801,0.00992456081927827,0.904741670211357,-0.128759051700625,0.89825607422673,0.974909271278107
"SCsg Gabrr2 Gaba","SCsg Gabrr2 Gaba",0.0125761430486112,0.0112248205737276,0.0154938445678951,0.724469677266976,-0.12842856465608,0.898515747969989,0.974909271278107
"SI-MPO-LPO-ADP Lhx8 Gaba","SI-MPO-LPO-ADP Lhx8 Gaba",0.00288922239789408,0.00275705828394789,0.00291257780002224,0.946604167595743,-0.126306958886473,0.900178381323125,0.974909271278107
"PH-LHA-PVH-SO-PVa Nxph4 Glut","PH-LHA-PVH-SO-PVa Nxph4 Glut",0.00408503944591135,0.00396535772599768,0.00502033714149115,0.789858850957545,-0.113209041403179,0.910485988239703,0.974909271278107
"AHN-PVHd-PVR Mixed Gaba","AHN-PVHd-PVR Mixed Gaba",0.0209388367669601,0.0224291642620955,0.0206309518826317,1.08716090220624,0.105260669125286,0.916742170799614,0.974909271278107
"HY NSCs_2","HY NSCs_2",0.0381698381232895,0.0403765259654529,0.0394654201157709,1.02308618144718,-0.0874047362398599,0.930824970511157,0.974909271278107
"PO-MEA Glut","PO-MEA Glut",0.00563398367589345,0.00634509186602375,0.00554547476878838,1.144192721196,-0.08376687862432,0.93370009978141,0.974909271278107
"ARC Mixed Glut","ARC Mixed Glut",0.0075119782345246,0.00734095178158573,0.00781929950700156,0.938824734237701,-0.0779394009358528,0.938299827393577,0.974909271278107
"HY NSCs_1","HY NSCs_1",0.00173353343873645,0.00173718836385306,0.00198892660247454,0.87343010128766,-0.0725863933980548,0.94252957685301,0.974909271278107
"SNc-VTA-RAmb Foxa1 Dopa","SNc-VTA-RAmb Foxa1 Dopa",0.0193337132125745,0.0197686526355239,0.0190170633415957,1.03952183785833,0.0613042272049406,0.95144956169162,0.974909271278107
"STR D1 Gaba","STR D1 Gaba",0.0282822770282743,0.0287473745227431,0.0283417559468415,1.01431169531847,0.0557456314839124,0.955846826434416,0.974909271278107
"ZI Pax6 Gaba","ZI Pax6 Gaba",0.00024076853315784,0.000272109581645913,0.000189518653023208,1.43579313859196,0.0544172917764318,0.956897854889979,0.974909271278107
"STR-PAL Chst9 Gaba","STR-PAL Chst9 Gaba",0.0384748115986228,0.0396212378498644,0.0380099360969124,1.04239159331507,-0.0343578868802242,0.972777953403221,0.974909271278107
"STR D1-D2 Gaba","STR D1-D2 Gaba",0.0228328825611351,0.0231182815006483,0.0241657745634059,0.956653859365888,0.0316669137288885,0.974909271278107,0.974909271278107
